NAME	POS	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	REB	AST	STL	BLK	TO	DD2	TD3
Luka Doncic DAL	PG	70	37.5	33.9	11.5	23.6	48.7	4.1	10.6	38.2	6.8	8.7	78.6	9.2	9.8	1.4	0.5	4	49	21
Giannis Antetokounmpo mil	PF	73	35.2	30.4	11.5	18.8	61.1	0.5	1.7	27.4	7	10.7	65.7	11.5	6.5	1.2	1.1	3.4	57	10
Shai Gilgeous-Alexander okc	PG	75	34	30.1	10.6	19.8	53.5	1.3	3.6	35.3	7.6	8.7	87.4	5.5	6.2	2	0.9	2.2	8	0
Jalen Brunson NY	PG	77	35.4	28.7	10.3	21.4	47.9	2.7	6.8	40.1	5.5	6.5	84.7	3.6	6.7	0.9	0.2	2.4	9	0
Kevin Durant phx	PF	75	37.2	27.1	10	19.1	52.3	2.2	5.4	41.3	4.8	5.6	85.6	6.6	5	0.9	1.2	3.3	14	1
Devin Booker phx	SG	68	36	27.1	9.4	19.2	49.2	2.2	6.1	36.4	6	6.7	88.6	4.5	6.9	0.9	0.4	2.6	13	0
Jayson Tatum bos	SF	74	35.7	26.9	9.1	19.3	47.1	3.1	8.2	37.6	5.6	6.7	83.3	8.1	4.9	1	0.6	2.5	25	0
De'Aaron Fox sac	PG	74	35.9	26.6	9.7	20.9	46.5	2.9	7.8	36.9	4.2	5.7	73.8	4.6	5.6	2	0.4	2.6	6	0
Stephen Curry GS	PG	74	32.7	26.4	8.8	19.5	45	4.8	11.8	40.8	4	4.4	92.3	4.5	5.1	0.7	0.4	2.8	7	0
Nikola Jokic den	C	79	34.6	26.4	10.4	17.9	58.3	1.1	2.9	35.9	4.5	5.5	81.7	12.4	9	1.4	0.9	3	68	25
Tyrese Maxey phi	PG	70	37.5	25.9	9.1	20.3	45	3	8.1	37.3	4.7	5.4	86.8	3.7	6.2	1	0.5	1.7	9	0
Anthony Edwards MIN	SG	79	35.1	25.9	9.1	19.7	46.1	2.4	6.7	35.7	5.4	6.4	83.6	5.4	5.1	1.3	0.5	3.1	9	0
LeBron James lal	SF	71	35.3	25.7	9.6	17.9	54	2.1	5.1	41	4.3	5.7	75	7.3	8.3	1.3	0.5	3.5	27	5
Kyrie Irving DAL	PG	58	35	25.6	9.7	19.5	49.7	3	7.3	41.1	3.3	3.6	90.5	5	5.2	1.3	0.5	1.8	5	0
Anthony Davis lal	PF	76	35.5	24.7	9.4	16.9	55.6	0.4	1.4	27.1	5.5	6.8	81.6	12.6	3.5	1.2	2.3	2.1	64	2
Damian Lillard MIL	PG	73	35.3	24.3	7.4	17.5	42.4	3	8.5	35.4	6.5	7	92	4.4	7	1	0.2	2.6	12	0
DeMar DeRozan chi	SF	79	37.8	24	8.2	17.2	48	0.9	2.8	33.3	6.6	7.7	85.3	4.3	5.3	1.1	0.6	1.7	7	0
Kawhi Leonard LAC	SF	68	34.3	23.7	9	17.1	52.5	2.1	4.9	41.7	3.7	4.2	88.5	6.1	3.6	1.6	0.9	1.8	4	1
Jaylen Brown bos	SG	70	33.5	23	9	17.9	49.9	2.1	5.9	35.4	3	4.3	70.3	5.5	3.6	1.2	0.5	2.4	6	1
Zion Williamson no	PF	70	31.5	22.9	8.9	15.6	57	0.1	0.3	33.3	5	7.1	70.2	5.8	5	1.1	0.7	2.8	12	0
Cade Cunningham det	PG	62	33.5	22.7	8.5	18.8	44.9	1.9	5.4	35.5	3.8	4.4	86.9	4.3	7.5	0.9	0.4	3.4	14	0
Paul George lac	F	74	33.8	22.6	7.9	16.7	47.1	3.3	7.9	41.3	3.6	3.9	90.7	5.2	3.5	1.5	0.5	2.1	3	0
Paolo Banchero orl	PF	80	35	22.6	8	17.6	45.5	1.5	4.4	33.9	5.1	7	72.5	6.9	5.4	0.9	0.6	3.1	16	2
Jaren Jackson Jr. mem	PF	66	32.2	22.5	7.8	17.6	44.4	1.8	5.5	32	5.1	6.3	80.8	5.5	2.3	1.2	1.6	2.4	5	0
Dejounte Murray atl	SG	78	35.7	22.5	8.6	18.8	45.9	2.6	7.1	36.3	2.7	3.4	79.4	5.3	6.4	1.4	0.3	2.6	20	1
Cam Thomas BKN	SG	66	31.4	22.5	8	18	44.2	2.2	6	36.4	4.3	5.1	85.6	3.2	2.9	0.7	0.2	1.9	0	0
Kyle Kuzma WSH	SF	70	32.6	22.2	8.7	18.8	46.3	2.2	6.4	33.6	2.7	3.4	77.5	6.6	4.2	0.5	0.7	2.7	14	0
Karl-Anthony Towns min	C	62	32.7	21.8	7.7	15.3	50.4	2.2	5.3	41.6	4.1	4.7	87.3	8.3	3	0.7	0.7	2.9	22	0
Pascal Siakam ind/tor	PF	80	33.2	21.7	8.5	15.9	53.6	1.1	3.1	34.6	3.6	5	73.2	7.1	4.3	0.8	0.3	1.8	15	1
Victor Wembanyama sa	C	71	29.7	21.4	7.8	16.7	46.5	1.8	5.5	32.5	4.1	5.2	79.6	10.6	3.9	1.2	3.6	3.7	43	2
Jamal Murray DEN	PG	59	31.5	21.2	8	16.7	48.1	2.5	5.8	42.5	2.7	3.1	85.3	4.1	6.5	1	0.7	2.1	11	0
Alperen Sengun hou	C	63	32.5	21.1	8.4	15.6	53.7	0.5	1.8	29.7	3.9	5.6	69.3	9.3	5	1.2	0.7	2.6	29	2
Miles Bridges CHA	SF	69	37.4	21	8.1	17.5	46.2	2.3	6.5	34.9	2.5	3.1	82.5	7.3	3.3	0.9	0.5	2	19	0
Brandon Ingram no	SF	64	32.9	20.8	7.8	15.9	49.2	1.3	3.8	35.5	3.8	4.8	80.1	5.1	5.7	0.8	0.6	2.5	3	1
Jimmy Butler mia	SF	60	34	20.8	6.6	13.2	49.9	1	2.4	41.4	6.6	7.7	85.8	5.3	5	1.3	0.3	1.7	5	1
RJ Barrett TOR/NY	SG	58	31.7	20.2	7.5	15.2	49.5	1.6	4.3	36	3.6	5	71.5	5.4	3.3	0.5	0.4	2.2	2	0
Tyrese Haliburton ind	PG	69	32.2	20.1	7.2	15.2	47.7	2.8	7.8	36.4	2.8	3.3	85.5	3.9	10.9	1.2	0.7	2.3	44	1
CJ McCollum NO	SG	66	32.7	20	7.3	16	45.9	3.6	8.4	42.9	1.7	2.1	82.7	4.3	4.6	0.9	0.6	1.7	2	0
Scottie Barnes tor	SF	60	34.9	19.9	7.5	15.7	47.5	1.7	4.9	34.1	3.3	4.2	78.1	8.2	6.1	1.3	1.5	2.8	25	4
Terry Rozier mia/cha	SG	61	33.4	19.8	7.2	16.4	44.3	2.4	6.7	36.3	2.8	3.2	86.9	4	5.6	1	0.3	1.7	4	0
Franz Wagner ORL	SF	72	32.5	19.7	7.3	15.2	48.2	1.3	4.6	28.1	3.8	4.4	85	5.3	3.7	1.1	0.4	1.9	0	0
Jalen Green HOU	SG	82	31.7	19.6	6.9	16.2	42.3	2.5	7.4	33.2	3.5	4.3	80.4	5.2	3.5	0.8	0.3	2.3	7	1
Mikal Bridges bkn	SF	82	34.8	19.6	6.9	15.8	43.6	2.7	7.2	37.2	3.1	3.9	81.4	4.5	3.6	1	0.4	2	3	0
Devin Vassell sa	SG	68	33.1	19.5	7.3	15.5	47.2	2.4	6.6	37.2	2.4	3	80.1	3.8	4.1	1.1	0.3	1.6	0	0
Domantas Sabonis sac	PF	82	35.7	19.4	7.7	13	59.4	0.4	1.1	37.9	3.6	5.1	70.4	13.7	8.2	0.9	0.6	3.3	77	26
Bam Adebayo mia	C	71	34	19.3	7.5	14.3	52.1	0.2	0.6	35.7	4.1	5.5	75.5	10.4	3.9	1.1	0.9	2.3	42	2
Coby White chi	PG	79	36.5	19.1	6.8	15.3	44.7	2.6	7	37.6	2.8	3.3	83.8	4.5	5.1	0.7	0.2	2.1	5	0
Jalen Williams OKC	F	71	31.3	19.1	7.5	14	54	1.5	3.4	42.7	2.5	3.1	81.4	4	4.5	1.1	0.6	1.7	3	0
Collin Sexton Utah	PG	78	26.6	18.7	6.5	13.3	48.7	1.6	4.2	39.4	4.1	4.7	85.9	2.6	4.9	0.8	0.2	2.1	4	0
Nikola Vucevic chi	C	76	34.3	18	7.7	15.9	48.4	1.2	4.1	29.4	1.4	1.7	82.2	10.5	3.3	0.7	0.8	1.6	45	0
D'Angelo Russell lal	PG	76	32.7	18	6.5	14.2	45.6	3	7.2	41.5	2.1	2.5	82.8	3.1	6.3	0.9	0.5	2.1	10	0
Klay Thompson GS	SG	77	29.7	17.9	6.4	14.7	43.2	3.5	9	38.7	1.6	1.8	92.7	3.3	2.3	0.6	0.5	1.5	0	0
Fred VanVIeet hou	PG	73	36.8	17.4	5.8	13.9	41.6	3.1	8	38.7	2.7	3.1	86	3.8	8.1	1.4	0.8	1.7	20	0
Jordan Poole wsh	SG	78	30.1	17.4	6.3	15.2	41.3	2.4	7.2	32.6	2.5	2.8	87.7	2.7	4.4	1.1	0.3	2.4	4	0
Brandon Miller cha	F	74	32.2	17.3	6.4	14.6	44	2.5	6.7	37.3	1.9	2.3	82.7	4.3	2.4	0.9	0.6	1.8	1	0
Tobias Harris phi	F	70	33.8	17.2	6.6	13.6	48.7	1.3	3.7	35.3	2.7	3	87.8	6.5	3.1	1	0.7	1.3	9	0
Myles Turner ind	C	77	27	17.1	6.2	11.8	52.4	1.5	4.2	35.8	3.2	4.1	77.3	6.9	1.3	0.5	1.9	1.4	17	0
Immanuel Quickley tor/ny	SG	68	29.2	17	5.7	13.1	43.4	2.5	6.4	39.5	3.1	3.6	85.3	3.8	4.9	0.7	0.1	1.5	8	0
Bogdan Bogdanovic atl	SG	79	30.4	16.9	6	13.9	42.8	3	8.1	37.4	1.9	2.1	92.1	3.4	3.1	1.2	0.3	1.4	1	0
Michael Porter Jr. den	SF	81	31.7	16.7	6.4	13.3	48.4	2.7	6.8	39.7	1.1	1.4	83.6	7	1.5	0.5	0.7	1.1	14	0
James Harden lac	SG	72	34.3	16.6	4.9	11.4	42.8	2.6	6.8	38.1	4.2	4.8	87.8	5.1	8.5	1.1	0.8	2.6	23	3
Chet Holmgren okc	PF	82	29.4	16.5	6.2	11.6	53	1.6	4.3	37	2.7	3.4	79.3	7.9	2.4	0.6	2.3	1.6	23	0
Jarrett Allen CLE	C	77	31.7	16.5	6.7	10.6	63.4	0	0.1	0	3	4.1	74.2	10.5	2.7	0.7	1.1	1.6	42	0
Jonathan Kuminga GS	PF	74	26.4	16.1	6.2	11.6	52.9	0.7	2.2	32.1	3	4	74.6	4.8	2.2	0.7	0.5	1.6	5	0
Austin Reaves lal	SG	82	32.1	15.9	5.6	11.5	48.6	1.9	5.1	36.7	2.8	3.3	85.3	4.3	5.5	0.8	0.3	2.1	9	1
Keldon Johnson sa	SF	69	29.5	15.7	5.7	12.5	45.4	1.8	5.3	34.6	2.5	3.2	79.2	5.5	2.8	0.7	0.3	1.4	9	0
Donte DiVincenzo NY	SG	81	29.1	15.5	5.5	12.4	44.3	3.5	8.7	40.1	1.1	1.4	75.4	3.7	2.7	1.3	0.4	1.4	0	0
Kelly Oubre Jr. phi	SG	68	30.2	15.4	5.7	12.9	44.1	1.5	4.8	31.1	2.6	3.4	75	5	1.5	1.1	0.7	1.3	4	0
Malik Monk SAC	SG	72	26	15.4	5.5	12.4	44.3	2.1	5.9	35	2.4	2.8	82.9	2.9	5.1	0.6	0.5	2.1	2	0
Jaden Ivey det	PG	77	28.8	15.4	5.4	12.6	42.9	1.6	4.8	33.6	2.9	3.9	74.9	3.4	3.8	0.7	0.5	2.5	2	0
Keegan Murray sac	SF	77	33.6	15.2	5.8	12.7	45.4	2.4	6.6	35.8	1.3	1.6	83.1	5.5	1.7	1	0.8	0.8	8	0
Derrick White bos	PG	73	32.6	15.2	5.3	11.5	46.1	2.7	6.8	39.6	1.9	2.1	90.1	4.2	5.2	1	1.2	1.5	5	1
John Collins UTAH	PF	68	28	15.1	5.8	11	53.2	1.3	3.4	37.1	2.2	2.7	79.5	8.5	1.1	0.6	0.9	1.4	24	0
Deni Avdija WSH	SF	75	30.1	14.7	5.4	10.7	50.6	1.2	3.1	37.4	2.7	3.6	73.9	7.2	3.8	0.8	0.5	2.1	18	0
Bennedict Mathurin ind	SG	59	26.1	14.5	5	11.2	44.6	1.4	3.6	37.4	3.1	3.8	82.1	4	2	0.6	0.2	1.6	3	0
Tim Hardaway Jr. DAL	SF	79	26.8	14.4	5	12.4	40.2	2.7	7.6	35.3	1.8	2.1	85.2	3.2	1.8	0.5	0.1	0.9	0	0
Dennis Schroder tor/bkn	PG	80	31.1	14	5	11.6	43.5	1.7	4.6	37.5	2.2	2.7	83.6	3	6.1	0.8	0.2	1.9	8	0
Caris LeVert CLE	SG	68	28.8	14	5.1	12.1	42.1	1.6	4.9	32.5	2.3	3	76.6	4.1	5.1	1.1	0.5	1.7	6	0
