NAME	POS	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	REB	AST	STL	BLK	TO	DD2	TD3
i Zeke Nnaji den	PF	58	9.9	3.2	1.2	2.6	46.3	0.1	0.4	26.1	0.7	1.1	67.7	2.2	0.6	0.3	0.7	0.5	0	0
1 JT Thor cha	F	63	12.4	3.2	1.3	2.9	43.7	0.4	1.3	34.6	0.2	0.3	55	2.3	0.5	0.2	0.4	0.2	0	0
' Dalen Terry chi	F	59	11.5	3.1	1.2	2.7	43.9	0.3	1.3	23	0.4	0.7	58.1	1.9	1.4	0.5	0.3	0.5	0	0
Joel Embiid phi	C	39	33.6	34.7	11.5	21.8	52.9	1.4	3.6	38.8	10.2	11.6	88.3	11	5.6	1.2	1.7	3.8	30	2
' Donovan Mitchell cle	SG	55	35.3	26.6	9.1	19.8	46.2	3.3	9	36.8	5	5.8	86.5	5.1	6.1	1.8	0.5	2.8	6	0
i Trae Young atl	PG	54	36	25.7	8	18.7	43	3.2	8.7	37.3	6.4	7.5	85.5	2.8	10.8	1.3	0.2	4.4	37	0
i Ja Morant MEM	PG	9	35.3	25.1	8.9	18.9	47.1	1.6	5.7	27.5	5.8	7.1	81.3	5.6	8.1	0.8	0.6	3	3	0
Julius Randle ny	PF	46	35.4	24	8.6	18.2	47.2	1.7	5.3	31.1	5.1	6.6	78.1	9.2	5	0.5	0.3	3.5	18	1
' LaMelo Ball CHA	PG	22	32.3	23.9	8.3	19.2	43.3	3.2	9	35.5	4.1	4.7	86.5	5.1	8	1.8	0.2	3.8	7	1
i Desmond Bane MEM	SG	42	34.4	23.7	8.6	18.5	46.4	3.3	8.6	38.1	3.3	3.8	87	4.4	5.5	1	0.5	2.7	3	0
Æ Lauri Markkanen Utah	PF	55	33.1	23.2	7.8	16.2	48	3.2	8	39.9	4.5	5	89.9	8.2	2	0.9	0.5	1.4	19	0
